Timestamp,GBP,USD
2023-07-31 07:45:00,0.85643407,1.10111771
2023-07-31 08:05:01,0.85644406,1.10106952
2023-07-31 08:25:01,0.85655724,1.10137952
2023-07-31 08:43:48,0.85708227,1.10253372
2023-07-31 09:13:49,0.85709944,1.1019941
2023-07-31 09:43:51,0.85790664,1.10176973
2023-07-31 10:13:52,0.8586045,1.10322462
2023-07-31 10:43:54,0.85794618,1.1028665
2023-07-31 11:13:55,0.85789323,1.10305087
2023-07-31 11:43:56,0.85874378,1.10385978
2023-07-31 12:13:57,0.85783937,1.10367276
2023-07-31 12:43:58,0.85709109,1.10319195
2023-07-31 13:13:59,0.85745754,1.10276377
2023-07-31 13:44:01,0.85801654,1.10262227
2023-07-31 14:14:02,0.85787771,1.10317508
2023-07-31 14:44:03,0.85890787,1.10217115
2023-07-31 15:14:04,0.85876488,1.10374224
2023-07-31 15:44:05,0.85881425,1.10389928
2023-07-31 16:14:07,0.85689735,1.10264284
2023-07-31 16:44:08,0.85722572,1.10218808
2023-07-31 17:14:09,0.85701636,1.101874
2023-07-31 17:44:10,0.85673125,1.10124445
2023-07-31 18:14:11,0.85603279,1.10078441
2023-07-31 18:44:13,0.85580453,1.10111524
2023-07-31 19:14:15,0.85634371,1.10067929
2023-07-31 19:44:16,0.85688473,1.10055115
2023-07-31 20:14:17,0.85677293,1.09991468
2023-07-31 20:44:18,0.85667836,1.0997064
2023-07-31 21:14:19,0.85676026,1.09950207
2023-07-31 21:44:21,0.85655475,1.09942845
2023-07-31 22:14:22,0.8568137,1.09976481
2023-07-31 22:44:23,0.85649964,1.09958999
2023-07-31 23:14:25,0.85663714,1.09981939
2023-07-31 23:44:26,0.85683124,1.10018108
2023-08-01 00:14:28,0.85688027,1.10010269
2023-08-01 00:44:29,0.85696853,1.09991529
2023-08-01 01:14:30,0.85691157,1.09980391
2023-08-01 01:44:31,0.85692338,1.0992969
2023-08-01 02:14:33,0.85656043,1.09895224
2023-08-01 02:44:34,0.8565977,1.09882157
2023-08-01 03:14:35,0.8569895,1.09866954
2023-08-01 03:44:36,0.85682505,1.09828949
2023-08-01 04:14:38,0.85691905,1.0984598
2023-08-01 04:44:39,0.85693792,1.09885103
2023-08-01 05:14:40,0.85675925,1.09859359
2023-08-01 05:44:41,0.85673279,1.09839909
2023-08-01 06:14:42,0.85650281,1.09907798
2023-08-01 06:44:44,0.85683177,1.09932279
2023-08-01 07:14:45,0.85757251,1.0996596
2023-08-01 07:44:46,0.85673314,1.09920338
2023-08-01 08:14:48,0.85692405,1.09958534
2023-08-01 08:44:49,0.85566308,1.09803846
2023-08-01 09:14:51,0.85652203,1.09805296
2023-08-01 09:44:54,0.85631001,1.09777932
2023-08-01 10:14:55,0.85564197,1.09756503
2023-08-01 10:44:57,0.85535907,1.09725855
2023-08-01 11:14:58,0.85618368,1.09762389
2023-08-01 11:44:59,0.8566634,1.09742608
2023-08-01 12:15:02,0.8577815,1.09820994
2023-08-01 12:45:03,0.857841,1.0979455
2023-08-01 13:15:05,0.85860434,1.09751867
2023-08-01 13:45:06,0.85848794,1.09602298
2023-08-01 14:15:08,0.85896456,1.09683727
2023-08-01 14:45:09,0.85882541,1.09727828
2023-08-01 15:15:11,0.85909217,1.09689231
2023-08-01 15:45:12,0.85977684,1.09747353
2023-08-01 16:15:13,0.86022784,1.09709857
2023-08-01 16:45:14,0.86005825,1.09623429
2023-08-01 17:15:16,0.86049536,1.09732483
2023-08-01 17:45:17,0.86012161,1.09712094
2023-08-01 18:15:18,0.85979086,1.09731718
2023-08-01 18:45:19,0.85987169,1.0964293
2023-08-01 19:15:21,0.85957204,1.09708982
2023-08-01 19:45:22,0.85935106,1.09695398
2023-08-01 20:15:23,0.85930142,1.09766415
2023-08-01 20:45:25,0.85953459,1.09847444
2023-08-01 21:15:26,0.85960822,1.09810669
2023-08-01 21:45:27,0.85966233,1.09830696
2023-08-01 22:15:28,0.85979744,1.09829667
2023-08-01 22:45:30,0.86038669,1.09945569
2023-08-01 23:15:31,0.86020273,1.10102306
2023-08-01 23:45:32,0.86031716,1.10012937
2023-08-02 00:15:33,0.8607875,1.10091945
2023-08-02 00:45:35,0.86057873,1.10138816
2023-08-02 01:15:36,0.86052633,1.0996197
2023-08-02 01:45:37,0.86033587,1.09950175
2023-08-02 02:15:38,0.86023822,1.09976187
2023-08-02 02:45:40,0.86028475,1.10050228
2023-08-02 03:15:43,0.86000587,1.09882391
2023-08-02 03:45:44,0.8601049,1.09870987
2023-08-02 04:15:45,0.86025996,1.09825776
2023-08-02 04:45:47,0.86023524,1.09883717
2023-08-02 05:15:48,0.85999841,1.09842
2023-08-02 05:45:49,0.85992743,1.09860658
2023-08-02 06:15:50,0.8601441,1.09969861
2023-08-02 06:45:55,0.86024585,1.09936855
2023-08-02 07:15:56,0.86047231,1.09859652
2023-08-02 07:45:57,0.86034736,1.09912986
2023-08-02 08:15:58,0.8603487,1.09884887
2023-08-02 08:45:59,0.85965803,1.09952573
2023-08-02 09:16:01,0.85869812,1.0982535
2023-08-02 09:46:02,0.85868633,1.09852201
2023-08-02 10:16:03,0.85869105,1.09819056
